bench-wer  2026-06-25 00:09:48  iters=5  cores=1-6 (pinned)  gov=performance

── moonshine-base ──
  sample                   audio     enc     dec    RTF    RSS   CPU    WER strict
  ls_2609-169640-0012.wav    2.1s   299ms   318ms  0.297  589MB  142%  1.250  1.250
  ls_2609-169640-0014.wav    7.3s   705ms   981ms  0.232  669MB  187%  0.087  0.087
  ls_2609-169640-0015.wav    5.2s   525ms   522ms  0.202  641MB  197%  0.143  0.214
  ls_2609-169640-0016.wav    3.9s   342ms   379ms  0.187  608MB  188%  0.083  0.083
  ls_2609-169640-0018.wav    5.9s   490ms   567ms  0.180  645MB  216%  0.167  0.222
  ls_3005-163390-0007.wav    6.2s   589ms   760ms  0.219  649MB  182%  0.000  0.045
  ls_3005-163399-0015.wav    4.5s   655ms   653ms  0.293  617MB  165%  0.067  0.333
  ls_3080-5032-0012.wav    12.4s  1388ms  2283ms  0.295  784MB  195%  0.000  0.114
  ls_3080-5032-0020.wav     2.8s   335ms   502ms  0.303  598MB  166%  0.071  0.071
  ls_3080-5040-0018.wav     1.7s   243ms   175ms  0.252  591MB  137%  0.000  0.250
  ls_3080-5040-0023.wav     3.1s   464ms   362ms  0.263  600MB  153%  0.000  0.429
  ls_3331-159605-0036.wav    5.6s   747ms  1137ms  0.334  644MB  175%  0.043  0.043
  ls_3331-159609-0011.wav   10.7s  1757ms  2407ms  0.391  745MB  189%  0.206  0.265
  ls_3528-168669-0067.wav    4.2s   659ms   573ms  0.295  614MB  160%  0.071  0.143
  ls_3528-168669-0099.wav    2.9s   460ms   611ms  0.366  598MB  160%  0.000  0.154
  ls_3538-163622-0015.wav    5.2s   714ms   868ms  0.307  642MB  183%  0.053  0.158
  ls_3538-163622-0017.wav    2.7s   472ms   549ms  0.375  599MB  150%  0.000  0.000
  ls_3538-163622-0021.wav    3.1s   532ms   585ms  0.361  599MB  152%  0.778  1.000
  ls_367-293981-0003.wav    9.1s  1552ms  2148ms  0.404  715MB  178%  0.083  0.222
  ls_3764-168670-0055.wav    5.2s   893ms  1129ms  0.387  643MB  167%  0.053  0.158
  ls_3764-168671-0027.wav    3.9s   676ms   651ms  0.339  611MB  157%  0.100  0.100
  ls_3997-182399-0006.wav   18.7s  3316ms  3577ms  0.368  937MB  200%  0.217  0.348
  ls_3997-182399-0011.wav    5.7s  1065ms   847ms  0.334  644MB  168%  0.200  0.400
  ls_4198-12259-0035.wav    6.7s  1130ms  1323ms  0.366  659MB  173%  0.050  0.150
  ls_4198-12259-0037.wav    4.0s   663ms   659ms  0.335  610MB  158%  0.333  0.556
  ls_4294-35475-0007.wav    5.9s  1025ms  1197ms  0.379  647MB  166%  0.200  0.200
  ls_4294-35475-0022.wav   20.0s  3011ms  5005ms  0.400 1010MB  196%  0.158  0.316
  ls_4294-9934-0024.wav     3.4s   488ms   612ms  0.324  600MB  157%  0.000  0.000
  ls_4350-10919-0032.wav    3.5s   530ms   696ms  0.355  605MB  159%  0.000  0.000
  ls_4350-9170-0025.wav    16.3s  2665ms  4445ms  0.437  887MB  196%  0.065  0.081
  ls_4350-9170-0029.wav     3.9s   657ms   789ms  0.374  608MB  159%  0.000  0.000
  ls_4350-9170-0034.wav     6.4s  1076ms  1313ms  0.370  656MB  170%  0.000  0.087
  ls_4852-28311-0026.wav    2.5s   377ms   335ms  0.283  590MB  145%  0.333  0.333
  ls_4852-28312-0025.wav    3.6s   552ms   397ms  0.267  605MB  157%  0.000  0.333
  ls_4852-28319-0000.wav    3.0s   449ms   275ms  0.245  597MB  149%  0.000  0.000
  ls_533-1066-0022.wav      4.6s   346ms   622ms  0.211  619MB  157%  0.000  0.000
  ls_533-131562-0007.wav    4.1s   618ms   553ms  0.284  615MB  163%  0.500  0.700
  ls_533-131564-0001.wav   15.2s  2500ms  3142ms  0.371  856MB  197%  0.310  0.429
  ls_5442-41168-0013.wav   10.1s  1602ms  1899ms  0.348  731MB  188%  0.111  0.259
  ls_5442-41168-0021.wav   15.4s  2543ms  3169ms  0.370  865MB  202%  0.043  0.085
  ls_5442-41169-0014.wav    4.9s   708ms   708ms  0.288  637MB  169%  0.000  0.133
  ls_5442-41169-0021.wav    8.8s  1295ms  1735ms  0.344  704MB  181%  0.333  0.571
  ls_5484-24317-0026.wav    2.2s   316ms   305ms  0.280  590MB  144%  1.000  1.000
  ls_5484-24317-0030.wav    8.0s  1180ms  1356ms  0.318  682MB  187%  0.000  0.000
  ls_5764-299665-0024.wav    3.7s   522ms   464ms  0.267  605MB  162%  0.000  0.111
  ls_5764-299665-0037.wav    5.5s   877ms   707ms  0.287  641MB  176%  0.083  0.250
  ls_5764-299665-0074.wav    7.3s  1112ms   858ms  0.269  667MB  185%  0.059  0.059
  ls_5764-299665-0076.wav    1.6s   260ms   199ms  0.283  589MB  135%  0.250  0.250
  ls_6070-63485-0009.wav    7.5s  1095ms  1406ms  0.334  671MB  181%  0.125  0.208
  ls_6070-86744-0002.wav   16.6s  2792ms  3079ms  0.354  900MB  207%  0.073  0.073
  ls_6128-63240-0004.wav   14.9s  2593ms  3222ms  0.390  852MB  196%  0.024  0.119
  ls_6128-63244-0002.wav    2.8s   415ms   455ms  0.306  599MB  155%  0.364  0.364
  ls_6128-63244-0013.wav    3.7s   565ms   490ms  0.288  605MB  157%  0.000  0.000
